Field_number,Sector_en,Sector_fr,Sector_es,Field_en,Field_fr,Field_es,IPC_code,Updated_on,Remark
2,Electrical engineering,Electrotechnique,Electricidad - Electronica,Audio-visual technology,Techniques audiovisuelles,Tecnologia audiovisual,H04N   7%,,
2,Electrical engineering,Electrotechnique,Electricidad - Electronica,Audio-visual technology,Techniques audiovisuelles,Tecnologia audiovisual,H04N   9%,,
2,Electrical engineering,Electrotechnique,Electricidad - Electronica,Audio-visual technology,Techniques audiovisuelles,Tecnologia audiovisual,H04N  11%,,
2,Electrical engineering,Electrotechnique,Electricidad - Electronica,Audio-visual technology,Techniques audiovisuelles,Tecnologia audiovisual,H04N  13%,,
2,Electrical engineering,Electrotechnique,Electricidad - Electronica,Audio-visual technology,Techniques audiovisuelles,Tecnologia audiovisual,H04N  15%,,
2,Electrical engineering,Electrotechnique,Electricidad - Electronica,Audio-visual technology,Techniques audiovisuelles,Tecnologia audiovisual,H04N  17%,,
2,Electrical engineering,Electrotechnique,Electricidad - Electronica,Audio-visual technology,Techniques audiovisuelles,Tecnologia audiovisual,H04N  19%,10-Jun-14,
2,Electrical engineering,Electrotechnique,Electricidad - Electronica,Audio-visual technology,Techniques audiovisuelles,Tecnologia audiovisual,H04N 101%,,
2,Electrical engineering,Electrotechnique,Electricidad - Electronica,Audio-visual technology,Techniques audiovisuelles,Tecnologia audiovisual,H04R%,,
2,Electrical engineering,Electrotechnique,Electricidad - Electronica,Audio-visual technology,Techniques audiovisuelles,Tecnologia audiovisual,H04S%,,
2,Electrical engineering,Electrotechnique,Electricidad - Electronica,Audio-visual technology,Techniques audiovisuelles,Tecnologia audiovisual,H05K%,,
3,Electrical engineering,Electrotechnique,Electricidad - Electronica,Telecommunications,Telecommunications,Telecomunicaciones,G08C%,,
3,Electrical engineering,Electrotechnique,Electricidad - Electronica,Telecommunications,Telecommunications,Telecomunicaciones,H01P%,,
3,Electrical engineering,Electrotechnique,Electricidad - Electronica,Telecommunications,Telecommunications,Telecomunicaciones,H01Q%,,
3,Electrical engineering,Electrotechnique,Electricidad - Electronica,Telecommunications,Telecommunications,Telecomunicaciones,H04B%,,
3,Electrical engineering,Electrotechnique,Electricidad - Electronica,Telecommunications,Telecommunications,Telecomunicaciones,H04H%,,
3,Electrical engineering,Electrotechnique,Electricidad - Electronica,Telecommunications,Telecommunications,Telecomunicaciones,H04J%,,
3,Electrical engineering,Electrotechnique,Electricidad - Electronica,Telecommunications,Telecommunications,Telecomunicaciones,H04K%,,
3,Electrical engineering,Electrotechnique,Electricidad - Electronica,Telecommunications,Telecommunications,Telecomunicaciones,H04M%,,
3,Electrical engineering,Electrotechnique,Electricidad - Electronica,Telecommunications,Telecommunications,Telecomunicaciones,H04N   1%,,
3,Electrical engineering,Electrotechnique,Electricidad - Electronica,Telecommunications,Telecommunications,Telecomunicaciones,H04Q%,,
4,Electrical engineering,Electrotechnique,Electricidad - Electronica,Digital communication,Communication numerique,Comunicacion digital,H04L%,,
4,Electrical engineering,Electrotechnique,Electricidad - Electronica,Digital communication,Communication numerique,Comunicacion digital,H04N  21%,,
4,Electrical engineering,Electrotechnique,Electricidad - Electronica,Digital communication,Communication numerique,Comunicacion digital,H04W%,,
5,Electrical engineering,Electrotechnique,Electricidad - Electronica,Basic communication processes,Techniques de communication de base,Procesos basicos de comunicacion,H03B%,,
5,Electrical engineering,Electrotechnique,Electricidad - Electronica,Basic communication processes,Techniques de communication de base,Procesos basicos de comunicacion,H03C%,,
5,Electrical engineering,Electrotechnique,Electricidad - Electronica,Basic communication processes,Techniques de communication de base,Procesos basicos de comunicacion,H03D%,,
5,Electrical engineering,Electrotechnique,Electricidad - Electronica,Basic communication processes,Techniques de communication de base,Procesos basicos de comunicacion,H03F%,,
5,Electrical engineering,Electrotechnique,Electricidad - Electronica,Basic communication processes,Techniques de communication de base,Procesos basicos de comunicacion,H03G%,,
5,Electrical engineering,Electrotechnique,Electricidad - Electronica,Basic communication processes,Techniques de communication de base,Procesos basicos de comunicacion,H03H%,,
5,Electrical engineering,Electrotechnique,Electricidad - Electronica,Basic communication processes,Techniques de communication de base,Procesos basicos de comunicacion,H03J%,,
5,Electrical engineering,Electrotechnique,Electricidad - Electronica,Basic communication processes,Techniques de communication de base,Procesos basicos de comunicacion,H03K%,,
5,Electrical engineering,Electrotechnique,Electricidad - Electronica,Basic communication processes,Techniques de communication de base,Procesos basicos de comunicacion,H03L%,,
5,Electrical engineering,Electrotechnique,Electricidad - Electronica,Basic communication processes,Techniques de communication de base,Procesos basicos de comunicacion,H03M%,,
6,Electrical engineering,Electrotechnique,Electricidad - Electronica,Computer technology,Informatique,Tecnologia informatica,G06C%,,
6,Electrical engineering,Electrotechnique,Electricidad - Electronica,Computer technology,Informatique,Tecnologia informatica,G06D%,,
6,Electrical engineering,Electrotechnique,Electricidad - Electronica,Computer technology,Informatique,Tecnologia informatica,G06E%,,
6,Electrical engineering,Electrotechnique,Electricidad - Electronica,Computer technology,Informatique,Tecnologia informatica,G06F%,,
6,Electrical engineering,Electrotechnique,Electricidad - Electronica,Computer technology,Informatique,Tecnologia informatica,G06G%,,
6,Electrical engineering,Electrotechnique,Electricidad - Electronica,Computer technology,Informatique,Tecnologia informatica,G06J%,,
6,Electrical engineering,Electrotechnique,Electricidad - Electronica,Computer technology,Informatique,Tecnologia informatica,G06K%,,
6,Electrical engineering,Electrotechnique,Electricidad - Electronica,Computer technology,Informatique,Tecnologia informatica,G06M%,,
6,Electrical engineering,Electrotechnique,Electricidad - Electronica,Computer technology,Informatique,Tecnologia informatica,G06N%,,
6,Electrical engineering,Electrotechnique,Electricidad - Electronica,Computer technology,Informatique,Tecnologia informatica,G06T%,,
6,Electrical engineering,Electrotechnique,Electricidad - Electronica,Computer technology,Informatique,Tecnologia informatica,G10L%,,
