"`PatentsView`.`temp_id_mapping_location_transformed`","`PatentsView`.`temp_assignee_lastknown_location`"
"`PatentsView`.`temp_assignee_lastknown_location`","`PatentsView`.`assignee`"
"`patent`.`patent_assignee`","`PatentsView`.`temp_assignee_num_patents`"
"`PatentsView`.`temp_assignee_num_patents`","`PatentsView`.`assignee`"
"`patent`.`patent_assignee`","`PatentsView`.`temp_assignee_num_inventors`"
"`PatentsView`.`temp_assignee_num_inventors`","`PatentsView`.`assignee`"
"`patent`.`patent_assignee`","`PatentsView`.`temp_assignee_years_active`"
"`patent`.`patents`","`PatentsView`.`temp_assignee_years_active`"
"`PatentsView`.`temp_assignee_years_active`","`PatentsView`.`assignee`"
"`patent`.`rawinventor`","`PatentsView`.`temp_inventor_lastknown_location`"
"`patent`.`patent`","`PatentsView`.`temp_inventor_lastknown_location`"
"`patent`.`location`","`PatentsView`.`temp_inventor_lastknown_location`"
"`patent`.`rawlocation`","`PatentsView`.`temp_inventor_lastknown_location`"
"`PatentsView`.`temp_id_mapping_location_transformed`","`PatentsView`.`temp_inventor_lastknown_location`"
"`PatentsView`.`temp_inventor_lastknown_location`","`PatentsView`.`inventor`"
"`patent`.`patent_inventor`","`PatentsView`.`temp_inventor_num_patents`"
"`PatentsView`.`temp_inventor_num_patents`","`PatentsView`.`inventor`"
"`patent`.`patent_inventor`","`PatentsView`.`temp_inventor_num_assignees`"
"`patent`.`patent_assignee`","`PatentsView`.`temp_inventor_num_assignees`"
"`PatentsView`.`temp_inventor_num_assignees`","`PatentsView`.`inventor`"
"`patent`.`patent_inventor`","`PatentsView`.`temp_inventor_years_active`"
"`patent`.`patents`","`PatentsView`.`temp_inventor_years_active`"
"`PatentsView`.`temp_inventor_years_active`","`PatentsView`.`inventor`"
"`patent`.`patent_inventor`","`PatentsView`.`temp_assignee_years_active`"
"`patent`.`patents`","`PatentsView`.`temp_assignee_years_active`"
"`PatentsView`.`temp_assignee_years_active`","`PatentsView`.`inventor`"
"`patent`.`patent_lawyer`","`PatentsView`.`temp_lawyer_num_patents`"
"`PatentsView`.`temp_lawyer_num_patents`","`PatentsView`.`lawyer`"
"`patent`.`patent_lawyer`","`PatentsView`.`temp_lawyer_num_assignees`"
